council,council_slug,applications_2025_26,decisions_2025_26,awards_2025_26,rejections_2025_26,acceptance_rate_2025_26_pct,acceptance_rank_of_32,scotland_acceptance_rate_2025_26_pct,difference_from_scotland_percentage_points,acceptance_rate_2024_25_pct,annual_change_percentage_points,acceptance_rate_2023_24_pct,acceptance_rate_2022_23_pct,acceptance_rate_2021_22_pct,crisis_grant_spend_2025_26_gbp,average_award_2025_26_gbp,latest_quarter_processed_by_end_next_working_day_pct,source_url,notes
"Clackmannanshire","clackmannanshire",2170,2170,1475,700,68,11,65,3,63,5,61,67,62,228074,155,100,"https://www.gov.scot/publications/scottish-welfare-fund-statistics-update-to-31-march-2026/","Council figures are rounded; acceptance is awards divided by decided applications; latest-quarter processing covers January to March 2026; rates do not explain why councils differ."
"Falkirk","falkirk",5395,5360,3625,1735,68,11,65,3,59,9,44,51,48,487029,135,95,"https://www.gov.scot/publications/scottish-welfare-fund-statistics-update-to-31-march-2026/","Council figures are rounded; acceptance is awards divided by decided applications; latest-quarter processing covers January to March 2026; rates do not explain why councils differ."
"East Ayrshire","east-ayrshire",5865,5880,3930,1950,67,13,65,2,65,2,61,57,59,400708,100,100,"https://www.gov.scot/publications/scottish-welfare-fund-statistics-update-to-31-march-2026/","Council figures are rounded; acceptance is awards divided by decided applications; latest-quarter processing covers January to March 2026; rates do not explain why councils differ."
"City of Edinburgh","city-of-edinburgh",26145,26160,17290,8870,66,14,65,1,62,4,64,57,58,2120654,125,100,"https://www.gov.scot/publications/scottish-welfare-fund-statistics-update-to-31-march-2026/","Council figures are rounded; acceptance is awards divided by decided applications; latest-quarter processing covers January to March 2026; rates do not explain why councils differ."
"Orkney Islands","orkney-islands",190,190,125,65,66,14,65,1,51,15,83,66,42,30812,245,100,"https://www.gov.scot/publications/scottish-welfare-fund-statistics-update-to-31-march-2026/","Council figures are rounded; acceptance is awards divided by decided applications; latest-quarter processing covers January to March 2026; rates do not explain why councils differ."
"Moray","moray",2530,2530,1650,880,65,16,65,0,64,1,58,60,63,194492,120,100,"https://www.gov.scot/publications/scottish-welfare-fund-statistics-update-to-31-march-2026/","Council figures are rounded; acceptance is awards divided by decided applications; latest-quarter processing covers January to March 2026; rates do not explain why councils differ."
"Aberdeenshire","aberdeenshire",7255,7245,4655,2590,64,17,65,-1,67,-3,62,65,72,595227,130,97,"https://www.gov.scot/publications/scottish-welfare-fund-statistics-update-to-31-march-2026/","Council figures are rounded; acceptance is awards divided by decided applications; latest-quarter processing covers January to March 2026; rates do not explain why councils differ."
"Renfrewshire","renfrewshire",9370,9385,6035,3350,64,17,65,-1,67,-3,67,68,70,699544,115,96,"https://www.gov.scot/publications/scottish-welfare-fund-statistics-update-to-31-march-2026/","Council figures are rounded; acceptance is awards divided by decided applications; latest-quarter processing covers January to March 2026; rates do not explain why councils differ."
"South Ayrshire","south-ayrshire",4115,4110,2620,1490,64,17,65,-1,63,1,56,57,67,395047,150,99,"https://www.gov.scot/publications/scottish-welfare-fund-statistics-update-to-31-march-2026/","Council figures are rounded; acceptance is awards divided by decided applications; latest-quarter processing covers January to March 2026; rates do not explain why councils differ."
"Stirling","stirling",3965,3965,2535,1430,64,17,65,-1,60,4,60,63,66,359773,140,99,"https://www.gov.scot/publications/scottish-welfare-fund-statistics-update-to-31-march-2026/","Council figures are rounded; acceptance is awards divided by decided applications; latest-quarter processing covers January to March 2026; rates do not explain why councils differ."
"Glasgow City","glasgow-city",41255,41195,25940,15250,63,21,65,-2,62,1,62,62,70,3950416,150,100,"https://www.gov.scot/publications/scottish-welfare-fund-statistics-update-to-31-march-2026/","Council figures are rounded; acceptance is awards divided by decided applications; latest-quarter processing covers January to March 2026; rates do not explain why councils differ."
"Perth and Kinross","perth-and-kinross",8145,8175,5160,3015,63,21,65,-2,64,-1,65,64,59,762476,150,99,"https://www.gov.scot/publications/scottish-welfare-fund-statistics-update-to-31-march-2026/","Council figures are rounded; acceptance is awards divided by decided applications; latest-quarter processing covers January to March 2026; rates do not explain why councils differ."
"West Lothian","west-lothian",9030,9035,5670,3365,63,21,65,-2,58,5,49,60,65,608985,105,99,"https://www.gov.scot/publications/scottish-welfare-fund-statistics-update-to-31-march-2026/","Council figures are rounded; acceptance is awards divided by decided applications; latest-quarter processing covers January to March 2026; rates do not explain why councils differ."
"South Lanarkshire","south-lanarkshire",10185,10180,6215,3965,61,24,65,-4,58,3,60,61,62,595532,95,99,"https://www.gov.scot/publications/scottish-welfare-fund-statistics-update-to-31-march-2026/","Council figures are rounded; acceptance is awards divided by decided applications; latest-quarter processing covers January to March 2026; rates do not explain why councils differ."
"Aberdeen City","aberdeen-city",17720,17730,10675,7055,60,25,65,-5,59,1,56,65,60,1099324,105,98,"https://www.gov.scot/publications/scottish-welfare-fund-statistics-update-to-31-march-2026/","Council figures are rounded; acceptance is awards divided by decided applications; latest-quarter processing covers January to March 2026; rates do not explain why councils differ."
"Argyll and Bute","argyll-and-bute",1625,1625,970,655,60,25,65,-5,55,5,53,54,51,130854,135,100,"https://www.gov.scot/publications/scottish-welfare-fund-statistics-update-to-31-march-2026/","Council figures are rounded; acceptance is awards divided by decided applications; latest-quarter processing covers January to March 2026; rates do not explain why councils differ."
"North Ayrshire","north-ayrshire",6140,6140,3615,2525,59,27,65,-6,57,2,55,52,44,329636,90,99,"https://www.gov.scot/publications/scottish-welfare-fund-statistics-update-to-31-march-2026/","Council figures are rounded; acceptance is awards divided by decided applications; latest-quarter processing covers January to March 2026; rates do not explain why councils differ."
"West Dunbartonshire","west-dunbartonshire",9065,9035,5330,3705,59,27,65,-6,53,6,61,80,79,498799,95,93,"https://www.gov.scot/publications/scottish-welfare-fund-statistics-update-to-31-march-2026/","Council figures are rounded; acceptance is awards divided by decided applications; latest-quarter processing covers January to March 2026; rates do not explain why councils differ."
"East Lothian","east-lothian",3765,3765,2180,1585,58,29,65,-7,55,3,41,45,52,282347,130,93,"https://www.gov.scot/publications/scottish-welfare-fund-statistics-update-to-31-march-2026/","Council figures are rounded; acceptance is awards divided by decided applications; latest-quarter processing covers January to March 2026; rates do not explain why councils differ."
"Shetland Islands","shetland-islands",160,160,90,65,58,29,65,-7,42,16,51,49,44,26072,285,67,"https://www.gov.scot/publications/scottish-welfare-fund-statistics-update-to-31-march-2026/","Council figures are rounded; acceptance is awards divided by decided applications; latest-quarter processing covers January to March 2026; rates do not explain why councils differ."
"Highland","highland",5925,5925,3165,2760,53,31,65,-12,54,-1,49,53,65,606333,190,95,"https://www.gov.scot/publications/scottish-welfare-fund-statistics-update-to-31-march-2026/","Council figures are rounded; acceptance is awards divided by decided applications; latest-quarter processing covers January to March 2026; rates do not explain why councils differ."
"Midlothian","midlothian",7315,7320,3815,3510,52,32,65,-13,51,1,49,52,57,449065,120,100,"https://www.gov.scot/publications/scottish-welfare-fund-statistics-update-to-31-march-2026/","Council figures are rounded; acceptance is awards divided by decided applications; latest-quarter processing covers January to March 2026; rates do not explain why councils differ."
